Reviewer,Country,Title,Review Text,Date,Rating,Link
regine Ruiz,PH,Wanna give 4stars because i observed…,Wanna give 4stars because i observed there is a huge price increase while its quality is  slowly changing its original taste. How i wish they could go back to its best formulation.,"Jan 2, 2025",4,https://www.trustpilot.com/users/653385d69a18ad00123a987f
Martha nangobi,UG,Freshness,I hope every one gets refreshed like I do wen I take a sip on that bottle of Coca-Cola 🤗,"Jan 1, 2025",4,https://www.trustpilot.com/users/677485c7d88e184970ea1db1
Noshaba khan,PK,Health,This brand is exactly more tastefull and their packaging is good,"Dec 19, 2024",5,https://www.trustpilot.com/users/6763d6a76152854eb0e87080
Vinushiya - Kamaleswaran,MY,Coca Cola is a favorite soft drink for…,"Coca Cola is a favorite soft drink for young people. unique taste, attractive coloring, we can enjoy our meal. But the elders cannot taste. In my view, Coke Zero must improve dietary needs of elders.","Dec 15, 2024",4,https://www.trustpilot.com/users/675f082af245144f333c0609
Clio Economou,GR,Just threw out a new bottle coke O…,Just threw out a new bottle coke O after a syp. It was totally flat!! What's happened to coke???It was the little bottle.,"Dec 8, 2024",1,https://www.trustpilot.com/users/67559eeffd2bac1a332e7b53
Jamie,DE,bad taste not like it used to be,,"Dec 7, 2024",1,https://www.trustpilot.com/users/675426f51a78d348e5901faa
Thomas,US,how is this so good,how is this so good? just...good.,"Nov 27, 2024",5,https://www.trustpilot.com/users/5e56b9686ca715774984c6fe
Shelly J,US,When Coca-Cola travels for business they’re too big for their britches,"I used to enjoy their products, however I worked for a hotel and people from Coca-Cola came to stay for business. From walking in the door to departure, they were extremely rude including the vice president. They acted like they rented out the entire hotel instead of a few rooms. They felt entitled to request things get moved around in the communal areas multiple times and made a list for the general manager. For example, we had a Coca-Cola fridge (the hotel owns it) and they wanted us to change out the drinks displayed in there since they weren’t all Coca-Cola brand. They demanded we only hand out their branded water and have them in all the rooms during their stay (and not just their rooms. All of them!). The vice president also felt the need to violate our property rules. His assistant yelled at the security officer for doing their job asking him not to smoke his cigar in the courtyard (he insisted on doing this nightly). The next week we had a different soda brand come in for business and they did not act this way. They acted normal. Coca-Cola forgot that while they were there, they were acting under their brand. As a consumer, I have been vocal about their behavior and will support any other soda company.Date of experience is rough estimate.","Nov 27, 2024",1,https://www.trustpilot.com/users/67466f6fe24a7c0aebabb31f
courtnee,AU,Coca-Cola,"Coca-Cola, the world's most recognizable brand, is a prime example of how misleading marketing can mask a product's harmful effects. While it may offer a temporary burst of sweet satisfaction, the long-term consequences of its consumption are far from pleasant.Here's why you should think twice before reaching for that cold can of Coca-Cola:Sugar Bomb: A single can of Coca-Cola packs a shocking amount of added sugar, contributing to obesity, type 2 diabetes, and heart disease.Tooth Decay Nightmare: The high sugar content and acidic nature of Coca-Cola wreak havoc on your teeth, leading to cavities, erosion, and weakened enamel.Dehydration Danger: Despite its liquid form, Coca-Cola can actually dehydrate your body due to its diuretic effect.Empty Calories: Coca-Cola provides little to no nutritional value, leaving you feeling hungry and unsatisfied.Addiction Potential: The combination of sugar and caffeine in Coca-Cola can be addictive, making it difficult to break free from its grip.In conclusion, while Coca-Cola may be a nostalgic favorite for many, it's time to recognize its negative impact on our health. Opt for healthier alternatives like water, herbal tea, or fresh fruit juice to nourish your body and protect your future.","Nov 26, 2024",1,https://www.trustpilot.com/users/673e68136e5f82a5ff90ccff
Connie,GB,Overpriced products that have significantly dropped in quality,"Coca-Cola is no longer carbonated enough and so goes flat when it's only been open a short amount of time. It's worse with the plastic bottles but still an issue with the cans. I used to drink a lot of Coke but now it always goes flat before I finish a bottle, or even a can. Lowering the quality but increasing the price to extortionate amounts is unethical and as the customer, you feel ripped off.Also the big bottles are now clearly made cheaply and are now flimsy, make them easier to spill when pouring, especially for people with motor issues. The new caps are a nightmare to get back on, again especially for disabled people but even for those without issues with their grip.","Nov 25, 2024",1,https://www.trustpilot.com/users/66eee7ce0f9f4a5da47bd3d8
Augustine,NG,Overpricing,"I love the brand and it happens to be a household thing but of lately, there have non availability of the product . The guys selling created over pricing due to none consistency of availability .","Nov 19, 2024",5,https://www.trustpilot.com/users/673c6722020403c0cf2d1342
TiptreeJam,GB,Fake coke cola,So sad that the traditional Coca Cola advert is no more. Rather than featuring Father Christmas with real people we have no Father Christmas and it all produced by fake A I. Thankfully there are some other businesses still celebrating the traditional Christmas.,"Nov 19, 2024",1,https://www.trustpilot.com/users/545e403e00006400019532b0
Kerry Mcghee,GB,STOP BUYING,"I am sick to death of being ripped off with your massively overpriced packs of Coca Cola that longer have any fizz, after decades of drinking coke your product has got so bad I won’t be buying again. Shame on you!","Nov 18, 2024",1,https://www.trustpilot.com/users/610a4f37c09a01001246e78a
Johnny Silverhand,PL,Company is obsessed with getting more billions on their net worth,"I have no idea what they were thinking when they tried to cut out a couple millions from the budget AT THE COST OF CIVILIAN WORKERS, to send this lifeless, greedy and and no passion scrap of an ad just to make sure theyre gonna get more money in the future which theyre propably not even going to use","Nov 17, 2024",1,https://www.trustpilot.com/users/6739fd16053fa0bd0c3203ee
Evance Joseph,TZ,Hellow I'm asking job,Hellow I'm asking job of be a ambassador of this company in TANZANIA.,"Nov 17, 2024",5,https://www.trustpilot.com/users/6739c5ef5d6cb403d4a8857b
Davor,GB,No to AI,"I see AI ad, I don't buy the product anymore.","Nov 16, 2024",1,https://www.trustpilot.com/users/63a83e5790b3dc0013f93a7c
Cengiz Tastan,DK,Disgusting,,"Oct 27, 2024",1,https://www.trustpilot.com/users/671eaa6180e0a293602cabed
Parisa,AE,Should be labelled as poison,,"Oct 25, 2024",1,https://www.trustpilot.com/users/671bb0700574cbe79e47a149
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Gabriel Davou choji,NG,I love cocacola and they partnership…,"I love cocacola and they partnership with clients, very encouraging and advancing,keep doing good","Oct 16, 2024",3,https://www.trustpilot.com/users/670f1eedf6bf3896302bffd2
Alice Villeneuve,CA,The fanta beetlejuice hauted apple was…,The fanta beetlejuice hauted apple was disgusting it tasted just like brown sugar but all the other one are so good,"Oct 14, 2024",1,https://www.trustpilot.com/users/670d660208594372573fb855
Rolix Rolix,ZA,worldwide its the best drink also found…,worldwide its the best drink also found in different bottle size . You can buy for a whole family and enjoy the coolness of coca cola,"Oct 11, 2024",5,https://www.trustpilot.com/users/670952ff97ce74f301ce3fd1
klassic mirabel foods life,NG,Coca cola is my best when it come to…,Coca cola is my best when it come to soda I remember I first time I try it as a child and ever since then that is what takes all most everyday.,"Oct 9, 2024",5,https://www.trustpilot.com/users/6706f4f226bc2b0306b26330
Harold Arnold,US,I dont care what people say or feel…,I dont care what people say or feel about cocacola but according to me cocacola is the best form of coke soda. They have the perfect sweetness and fizziness to their drinks. Pepsi is baaaaaaaad.,"Oct 8, 2024",5,https://www.trustpilot.com/users/67053677cc6882c19886adc4
DENNIS MUSYOKI,KE,I just want to say thanks,I just want to say thanksCoca cola has ever been my best drink so far I can encourage you never change the recipe and the test thanks alot keep it up,"Oct 6, 2024",1,https://www.trustpilot.com/users/6702a8cf4ef7de4db58ac366
faith oty,NG,Coca Cola products is such an amazing…,Coca Cola products is such an amazing product because they product brings refreshment to the soul,"Oct 6, 2024",4,https://www.trustpilot.com/users/6702909d4ef7de2b018ab14c
Curtis Johnson,US,Could you please keep the Oreo…,Could you please keep the Oreo Coca-Cola. It tasted so good.,"Oct 6, 2024",5,https://www.trustpilot.com/users/6701bec6554347d1d3a61d17
Borne Raphael,FR,free palestien,,"Sep 18, 2024",2,https://www.trustpilot.com/users/66ea36986e67f8f5094dfa78
Kisitu George,FR,Provide better items both locally and…,Provide better items both locally and internationally,"Sep 16, 2024",5,https://www.trustpilot.com/users/66e86ba311c1dde14fda7b62
John McGrath,US,Sprite Cherry,"Sprite Cherry. Not cherry. Not even close. Taste of chemicals. I was expecting Kool Aid flavor, which isn't the best, or Gatorade Frost cherry, which I think has it down. This is yucky.","Aug 10, 2024",1,https://www.trustpilot.com/users/66b7d2f411b7c5df5db27cff
Tracy A Martinez,US,Okay I had an interesting situation…,Okay I had an interesting situation happen recently where am I local liquor store I bought a liter of Coca-Cola took it home and it was flat today I stopped at a local Asian market picked up a Coca-Cola and it was flat I'm now worried about opening up my diet Coke but I called Coca-Cola and the very nice representative that helped me assured me that they will look into it and they will reimburse me for my two soda products thank you very much Coca-Cola you take care of your people.,"Jul 30, 2024",4,https://www.trustpilot.com/users/5ced9b8312bf4a9862129804
Lance Sheridan,US,Refreshingly good…,"This review is referring to its primary soft drink, preferably in a glass bottle. Undoubtedly the #1 of its kind on the planet, and not too far behind tea and coffee. To me, their best ever was Cherry Coca-Cola.","Jul 29, 2024",5,https://www.trustpilot.com/users/5dc42d639f72b6077003b671
ANDREW BUTAO,MW,This company makes the great taste of…,This company makes the great taste of soft drinks,"Jul 20, 2024",5,https://www.trustpilot.com/users/669c1e926c22377eb61e2026
Kathy Campbell,US,Gold Peak 16.9 fl 0z bottles,"Gold Peak 16.9 fl 0z bottles. The lids are just about impossible to get open. Customer service is useless on a Saturday. I typed a long email this morning and it would not submit. ""Oops something went wrong, try again later."" I bookmarked the page to try again on Monday. I tried chat but they are only available M-F. The zero sugar tea made me ill with intestinal issues. I have 3 of those bottles left and am afraid to drink them if I would even attempt to open them. I have kitchen gadgets to open plastic bottles but even those are struggling. A senior citizen with arthritis should not have to fight a plastic bottle lid!","Jul 20, 2024",1,https://www.trustpilot.com/users/6302637b71409f001429a696
Robert Staub,US,Worst customer service ever,"Worst customer service ever, am a wholesale customer, orders either wrong late or just doesn't come all the time, their new website for online ordering is horribly designed yet, they refuse to take orders over the phone anymore.","Jul 18, 2024",1,https://www.trustpilot.com/users/669857d3e7ebac4077dae0bf
chester lay,US,The packaging absolutely sucks with the…,The packaging absolutely sucks with the 8 pack plastic bottles.  You can't even pick them up without them falling out. If it were up to me I wouldn't buy this product at all.,"Jul 16, 2024",1,https://www.trustpilot.com/users/66963a77776b868e1bc19b97
Lewis,GB,Coca-cola proudly supports the genocide…,"Coca-cola proudly supports the genocide of Palestinians by supporting Israel, while polluting the planet.","Jun 27, 2024",1,https://www.trustpilot.com/users/6083db36740e8c001302cd9e
Philip Bott,GB,"Go on, get the top off!",Coca Cola make bottled water named Glaceau.I challenge anybody to get the top off the bottle! The retaining band on the cap is thick plastic and will not yield. I had to (dangerously) take a screwdriver to it!Totally negates the convenience label of the product!,"Jun 20, 2024",1,https://www.trustpilot.com/users/611e418af163ee0014ad3e17
Forty Seven,GB,Wouldn't use any machinery from these lot,"we was sold a post mix machine back in 2021 and since then nothing but trouble.two major leaks that flooded the bar then we decided to turn the machine off and have it removed.The interesting thing when the machine was switched off is how much energy it added to our electricity billAfter switching it off our bills dropped £170 a month!!!!!When we agreed to take the machine at no point was I told that it would add so much to our bills.So two days ago two lads come down to remove the machine but in the process damaged the water filter unit attached to the coffee machine , they said nothing and went on there way . it only came to light when the machine wouldn't work as no water going to it , I turned on the water and got soaked from the damaged filter .Todays update is nothing people are off nobody about to help and my coffee machine is still off losing me money .Think very carefully before buying any machinery from Coca Cola","Jun 7, 2024",1,https://www.trustpilot.com/users/6267c0f827e64c0012e32523
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Steve Tessier,CA,I gave up Coca-Cola after HFCS,I gave up Coca-Cola after they changed to HFCS. They claim that there was a no difference in taste? That’s not true and no longer the real thing. I recognize cane sugar. Try putting that crap in chocolate or candy. They don’t even offer Cane Sugar like Pepsi. I drink Pepsi with cane sugar and like it better. Plus I do not care to support Coca-Cola over it’s support of Israel’s Genocide.,"May 19, 2024",1,https://www.trustpilot.com/users/5f5733d7b2ae8ade544e0aee
Oscar Chigwahu,ZA,Coca cola is very good brand and have…,Coca cola is very good brand and have been drinking all my life.The now Coca cola with less sugar is truly awesome.I really enjoy it and it quenchies my thirst.,"May 11, 2024",3,https://www.trustpilot.com/users/663fc2d69aac916103c59619
zak Fadde,MA,Absolutely horrible service,"Absolutely horrible service, I have a coffeshop and a restaurant in Nouaceur Morocco , I always have a problem with the delivery team always  blocking my shop entrance with their products I have asked multiple times not to leave it out on the street instead it should delivered in the store not outside, they have cursed me out and took the products back to their truck, this is unacceptable and it hurts my business","May 8, 2024",1,https://www.trustpilot.com/users/663b443112dc84cace112a93
Roshan Kunwar,NP,2024 coca cola Taste lest why improve…,2024 coca cola Taste lest why improve test plaese,"Apr 19, 2024",1,https://www.trustpilot.com/users/66222d1a434f990012bba16e
Subscribe To RevengeBloxYT,US,"Coco Cola Spiced, something is TERRIBLY wrong with it.","I had the new coco cola, Spiced, it tasted good at the start, about an hour went by, I got horrible burns on my lower-body, that, not sure if it was thousands of little hives, I'm a boy and not allergic to ANYTHING!Something is deathly wrong with the soda! (Coco Cola Spiced)I am completely healthy so it has nothing to do with blood sugar.It may of been a HIGHLY unhealthy amount of acid that they put in the drinks.","Apr 9, 2024",2,https://www.trustpilot.com/users/6615a0dc63a74100123c6019
Muna Ali,DK,Palestine cola tast more than peacful.,Palestine cola tast more than peacful.,"Apr 5, 2024",1,https://www.trustpilot.com/users/660f303d2ed44a0012c215f8
Sunny,GB,It doesn't taste same as before,It doesn't taste same as before,"Mar 31, 2024",1,https://www.trustpilot.com/users/573b3f1f0000ff000a20e708
Felix Hauss,PT,online service is good but arrived late,,"Mar 27, 2024",4,https://www.trustpilot.com/users/660430d244935e00127e8222
Karina Carrillo,US,I enjoyed drinking Coca-Cola,I enjoyed drinking Coca-Cola. I love Coca-Cola. I love cherry Coke the best taste way better than Pepsi. I just want to say thank you for you guys. Doing such a wonderful job. I am so blessed by getting a chance to drink Coca-Cola And cherry Coke so thank you so much for always doing it to Job making a better drink than Pepsi,"Mar 26, 2024",5,https://www.trustpilot.com/users/66030f12d7209b0012e19e20
Vicky,NL,Pepsi for the win!,,"Mar 26, 2024",1,https://www.trustpilot.com/users/6602962d830fec00128a07ca
Mary Schmidt,US,Sprite taste aweful now,Sprite taste aweful now. Why did you change the flavor ? It’s less carbonated and the flavor is gross.,"Mar 19, 2024",1,https://www.trustpilot.com/users/65f8d95689360e00119e9251
Westlondongirl,GB,Would be a great drink if I could open…,Would be a great drink if I could open the bottle.Screw cap on 500ml bottles so tight will not open and will have to resort to silicone bottle mat to open when home.Have a rethink Coke!,"Mar 16, 2024",1,https://www.trustpilot.com/users/65214717d6d13a00115f649e
Darren Naidoo,ZA,Glass in the cooldrink,"I wanted to bring to your attention an incident involving a piece of sharp glass found in a bottle of Coca-Cola. Thankfully, my child noticed it before consuming the drink. Despite contacting your company, I received excuses and inadequate feedback for over a month. The response suggested it might have occurred during distribution, with no commitment to implementing preventive measures. This disregard for health and safety is deeply concerning, highlighting a priority on profit over consumer well-being.","Mar 15, 2024",1,https://www.trustpilot.com/users/65f3fce5bee08a001202b596
Mduduzi Samson,ZA,it really Good because they a very good…,it really Good because they a very good product,"Mar 14, 2024",5,https://www.trustpilot.com/users/65f25f12bee08a001201f050
John Hole,GB,UK and EU sugar tax problem.,"Coke and cherry Coke are the only original products available in the UK that taste good as they don't contain sweeteners, I also used to drink pepsi but since PEPSICO sneakily changed the recipe by adding sweeteners to pepsi original I won't ever buy any again.What would be good is if Coco Cola would restore some of their other beverages back to the original without sweeteners such as Fanta I'd start buying it again. I'd rather have the option of paying a bit more because of the wretched sugar tax than having all of the other drinks on my Avoid list because of added sweeteners to avoid sugar tax","Mar 4, 2024",5,https://www.trustpilot.com/users/5aca63c84de5666d34cdc345
Brewery,GB,I would never see past Coca-Cola,I would never see past Coca-Cola. However in the past 4-6 weeks the taste has been shocking. We have lost about 48 cans of coke. We now starting to look at something new because its been so bad. The taste is if metal or even worse,"Mar 3, 2024",1,https://www.trustpilot.com/users/6142fcf01e83e10012452299
Manu Manu,GB,tastes worse than the cheapest competitor,"Bought an ''original taste'' bottle as it was on offer with some pizza. Placed in the fridge in the morning so it's cold enough for later in the evening.Poured in a glass and I instantly noticed a lack of carbonation because cocacola usually foams up a lot. It tasted nowhere near like I remember it. Instead it tasted about as flat as if I had left the bottle opened for 2-3 days, nowhere near the original fizz, just tasted like some old out of date vile thing.I never finished the glass, and it all went in the sink with me wondering if it was even safe to drink.","Feb 21, 2024",1,https://www.trustpilot.com/users/656f3902af902a00121757e4
Yug Patel,IN,Having good taste and best competetor…,Having good taste and best competetor of all other brands,"Feb 20, 2024",5,https://www.trustpilot.com/users/65d473c23f790b001201ef75
Thokozani Dlamini,ZA,Font is reader friendly.the bottling is…,Font is reader friendly.the bottling is perfect for different situations.it does not only cater for a specific age group.but it covers all ages.,"Feb 18, 2024",5,https://www.trustpilot.com/users/65d25d0b4dfc7b0012c28282
Michelle York,US,CocaCola does not deserve to have customers,"CocaCola has changed their beverages to be flat, tasteless cans of sugar water. When I called to complain about it, I was hung up on multiple times by their customer service reps then finally promised a return phone call that day by a ""bottler."" (Evidently they hold the bottlers responsible for their product). A bottler never called me so I called back today and was hung up on numerous times by their ""customer service"" reps. I was told I just have to wait for a phone call. They couldn't give me a time frame on a return call. Their customer service is deplorable. They should not even be in business based on that alone. How dare a company that big be so rude to the people who purchase their products!!!!!!!!!!!!!!!!! I, for one, am done.","Feb 10, 2024",1,https://www.trustpilot.com/users/65c6a8879d46fe0011571bb2
Jay,,,,5 days ago,,https://www.trustpilot.com/users/664a4863f9916eaccee9f40d
Dave,,,,4 days ago,,https://www.trustpilot.com/users/67ee290674626a453f55ec7c
Keneth Leonard,,,,"Mar 30, 2025",,https://www.trustpilot.com/users/67e94ec989ee1484f94e9663
Shae Brown,,,,"Mar 6, 2025",,https://www.trustpilot.com/users/67c914d9a30fd86f932d0285
Vin,US,Just come here to say that I LOVE LOVE…,Just come here to say that I LOVE LOVE LOVE zero coke!!!,"Feb 6, 2024",5,https://www.trustpilot.com/users/65c2568782ee5a00122d6ee1
Flex Removal,GB,Hi cola zero best,"Hi, coca cola zero is good in taste.thanks by Flex Removal ltd Man and van hire. London.","Feb 5, 2024",5,https://www.trustpilot.com/users/65c0ffd2343b360012d4d055
Mukul Khurana,KH,Well,"Well, you know how it is. You may like the product, or you might be staying away from it because of all the sugar and not-so-healthy and necessary things for your metabolism in the drink.but it is an inevitable fact that the coke is a household name in so many families across a vast majority of the countries in the world these days. It did not happen overnight obviously, but you know, it is like a tradition and a safe choice for a lot of people when it comes to soft drinks. I like to enjoy a light coke every now and then. It's that perfect combination of sweetness and the fizz that give you the tingling sensation when it goes down your throat.and It's not even the taste, it is about the adaptation, it is ""familiar"" so it has become like a comfort beverage for me. Especially with food when I now I cannot have any other beverage.It can also give you a short-time energy before the gym if you don't have access to a pre-work out at the moment, but don't take my word for it, i am not a personal trainer or a nutritionist haha :D","Jan 26, 2024",4,https://www.trustpilot.com/users/5d87a51839cf1407646f7f49
Ernestine Fair,US,I am drinking a Coca Cola now,I am drinking a Coca Cola nowand I love it. Shout out to the Anderson family! I love you and I love Coca💜Cola.,"Jan 19, 2024",5,https://www.trustpilot.com/users/65aaa5a51329ae00127a65eb
Nassim Sarkar,IN,It tastes like bloooooood,It tastes like the blood of innocent Palestinian kids brutally killed by the occupying army. Avoid it to save humanity.,"Jan 17, 2024",1,https://www.trustpilot.com/users/657339d4c546b700110498e7
Raul Alvarez,DE,Old bottle was better,"Old bottle was better, but coke is good","Dec 30, 2023",3,https://www.trustpilot.com/users/658f4c4a162e7d00121d1eba
Edytas Chrisgrace,GB,Something is wrong with coca cola…,"Something is wrong with coca cola classic. It tastes like there would be some sweetener in it or less gas or something. It starts to iritate me, if that will repeat itself I am out, no more coca cola for me or my kids. Can not digest this zero and similar tastes. Had some glass coca cola recently in restaurant, lovely like always had Pepsi in the other restaurant horrid, labell said sugar and sweetener, bye bye Pepsi. Keep it to original receipt! What is wrong will all of you !!!","Dec 29, 2023",2,https://www.trustpilot.com/users/64beafcab75ab30012f7fe4e
Violetta Serhiienko,GB,Unfortunately,"Unfortunately, my experience with Coca-Cola has been disappointing. I found the beverage to have an excessive amount of sugar, making it overly sweet for my taste. Moreover, after consuming this carbonated drink, I feel a sharp need for water due to its excessive sweetness and carbohydrate levels. I prefer beverages with a more balanced composition and lower sugar content.","Dec 25, 2023",1,https://www.trustpilot.com/users/6582f91e96dfc8001275585c
Temple Savage,GB,I suggest you stop supporting the evil…,"I suggest you stop supporting the evil that is the Israeli Government, it’s army & the ‘settlers’ or at least p**s in their coke ! Personally I would put something else in it","Dec 8, 2023",1,https://www.trustpilot.com/users/6558239d192b8f0012ae380e
Sara Alaf,GB,Genocide supporters,Genocide supporters! You have the blood of over 8000 kids on your hands!,"Dec 7, 2023",1,https://www.trustpilot.com/users/569940630000ff0001fcb104
